water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,longitude,city,soil,crops,month
48.45449,20.716867,31.660458,60.11003,85.10382,7.685949,18.26493,68.49158,82.619415,20.965857,85.32523,kolkata,red lomy sand,maize,October
31.31994,22.22895,34.03024,37.909885,104.796745,7.6230426,21.584084,0.052603632,414.69382,13.960117,75.81345,kurnool,red lomy sand,maize,February
7.0006413,21.96655,31.820955,65.79432,163.18512,7.306078,18.751453,148.8063,122.65454,14.307187,77.18622,chennai,red lomy sand,maize,December
23.377434,17.90155,32.51769,52.467075,100.2467,9.095847,19.241087,7.7047114,229.1124,20.477812,77.89505,kurnool,red lomy sand,maize,February
22.813864,15.384269,27.765902,66.868774,154.42372,8.184613,17.91115,73.49285,116.20112,16.120525,78.41863,chennai,red lomy sand,maize,February
11.166367,21.975092,29.585617,77.53412,161.77417,7.2152996,18.81471,211.52606,46.940758,14.174062,81.34944,chennai,red lomy sand,maize,December
3.401064,10.02937,22.043915,72.10124,186.79709,9.147545,17.017157,79.11136,35.0252,20.939035,78.66287,chennai,red lomy sand,maize,December
1.5294273,22.431316,33.17828,78.203735,157.91827,6.2307777,16.544449,271.19012,32.817368,15.267066,79.63071,chennai,red lomy sand,maize,October
62.209923,19.195038,27.001545,62.807487,95.85093,9.300282,17.376524,5.11977,290.52063,23.081537,77.47086,delhi,red lomy sand,maize,December
30.006905,19.39905,32.205696,48.74902,139.24324,9.304172,18.602024,6.677014,298.12933,20.413364,80.0513,jaipur,red lomy sand,maize,February
46.625908,17.342258,32.25516,47.765175,116.91219,8.542123,19.125856,0.10875666,385.2082,17.583113,75.973076,kurnool,red lomy sand,maize,February
28.351662,16.49898,27.889284,50.568115,122.97383,8.771756,19.844952,17.910923,151.44472,16.706944,78.3792,kurnool,red lomy sand,maize,February
30.251806,14.544359,24.295725,68.7429,121.08979,8.756388,18.397778,75.56658,82.610176,23.493204,80.70582,jaipur,red lomy sand,maize,December
70.08254,17.349503,27.441216,70.900406,110.5851,8.187391,17.34031,73.76497,56.68559,18.436665,81.99942,chennai,red lomy sand,maize,December
18.852402,20.798481,33.92618,45.335033,119.42491,8.787274,21.42635,31.117535,356.01022,15.20775,76.23713,kurnool,red lomy sand,maize,October
64.9998,9.090994,23.061577,61.114708,147.15062,8.042121,14.287365,0.5751788,413.19305,28.493282,75.842,jaipur,red lomy sand,maize,January
64.64794,15.502834,29.007767,63.345478,139.31656,8.640241,18.65862,18.847475,233.44495,17.992424,77.797386,kurnool,red lomy sand,maize,January
59.617588,19.10327,30.724619,71.04221,114.67726,7.9409747,17.484251,93.45592,109.7961,16.941471,79.78099,chennai,red lomy sand,maize,November
38.74494,18.844616,33.582775,38.618427,112.76344,8.672658,20.566622,0.89047706,417.9614,15.914124,75.818985,kurnool,red lomy sand,maize,February
8.527116,23.005564,33.76587,49.413498,106.93105,7.2565084,20.597385,177.56909,204.40744,16.881603,79.4738,kurnool,red lomy sand,maize,October
4.181622,21.525955,31.653849,74.858376,146.1037,7.5622563,19.372446,108.59427,23.882132,14.583987,81.666794,chennai,red lomy sand,maize,February
108.937805,8.0460415,21.100084,65.82021,151.05428,9.491532,14.051745,0.35925388,413.07687,28.596737,75.80593,jaipur,red lomy sand,maize,December
11.975345,20.535347,31.555584,52.16132,110.890724,9.201492,21.22902,32.939796,123.90206,17.20464,78.564735,kurnool,red lomy sand,maize,February
73.73544,13.442203,30.373156,55.792458,95.97461,8.312134,15.505457,3.829917,349.7458,25.901424,78.36703,jaipur,red lomy sand,maize,February
93.3849,15.617829,28.201418,56.360313,121.82529,8.343526,15.7848625,1.812026,298.02008,22.483706,77.74083,chennai,red lomy sand,maize,December
33.17027,17.994326,29.003235,62.929306,139.6905,7.6879754,18.499414,96.984566,84.12403,17.750866,82.5498,kolkata,red lomy sand,maize,February
0.2533093,21.576143,27.90628,81.81226,189.9614,6.3034925,15.839064,274.391,7.877381,13.755551,79.14589,chennai,red lomy sand,maize,November
112.25957,8.701476,22.447104,54.11374,112.082855,7.943676,13.909625,0.80566406,407.8386,28.334312,75.83246,jaipur,red lomy sand,maize,December
5.563966,21.981625,32.2978,79.143906,134.67784,6.7864795,17.359407,181.85449,24.006155,15.998417,81.31228,chennai,red lomy sand,maize,December
103.570854,16.967825,33.370064,47.210495,74.32209,7.6376452,17.368261,0.02038452,392.19876,15.981337,75.90007,kurnool,red lomy sand,maize,January
21.919971,12.598576,25.089466,68.96894,102.08744,9.202496,17.40772,25.33894,156.82428,23.631802,79.38879,kolkata,red lomy sand,maize,February
33.546795,21.458145,32.712467,68.28025,153.18279,6.863007,18.688028,212.9104,107.71185,13.411153,77.61745,chennai,red lomy sand,maize,October
58.377686,19.067673,31.62818,57.541847,86.80326,7.187498,18.353802,49.924366,121.5507,21.21491,78.919174,kurnool,red lomy sand,maize,October
30.852621,9.850422,23.070887,63.860603,154.20015,9.375118,17.144922,8.662852,265.98654,26.184355,77.58881,delhi,red lomy sand,maize,February
2.9404023,22.887146,34.13685,44.845318,151.02304,7.1608624,20.867218,180.99843,307.6939,13.875792,76.75641,kurnool,red lomy sand,maize,October
7.150942,16.319403,31.626915,55.891148,137.48177,9.590189,20.420118,12.339851,236.4915,21.50979,76.93036,delhi,red lomy sand,maize,February
95.44687,10.057974,25.058424,60.480816,84.99092,8.83399,16.215778,13.721194,129.34294,20.950048,78.72005,kolkata,red lomy sand,maize,February
74.10678,8.481665,22.098576,59.23046,166.09033,8.467786,14.359464,0.057966948,403.4911,28.08289,75.83989,jaipur,red lomy sand,maize,November
0.49742794,23.467945,31.857,81.74111,179.75775,6.2909036,15.73087,236.5504,8.141009,13.767511,83.57077,chennai,red lomy sand,maize,December
37.14487,21.338474,28.125622,79.44986,93.92311,6.8281703,15.762376,147.64638,28.076183,16.92423,84.153404,kolkata,red lomy sand,maize,December
